Date,Symbol,Open,High,Low,Close,Volume,fetch_time
2025-01-14 15:33:00+00:00,AAPL,235.8699951171875,235.97000122070312,235.8000946044922,235.86000061035156,71057,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:34:00+00:00,AAPL,235.8699951171875,235.8699951171875,235.7100067138672,235.72999572753906,22599,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:35:00+00:00,AAPL,235.63499450683594,235.74000549316406,235.63499450683594,235.6750030517578,109017,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:36:00+00:00,AAPL,235.6501007080078,235.69000244140625,235.4199981689453,235.43499755859375,93434,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:37:00+00:00,AAPL,235.44000244140625,235.4600067138672,235.27000427246094,235.32000732421875,89794,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:38:00+00:00,AAPL,235.32989501953125,235.32989501953125,235.0500030517578,235.27000427246094,113896,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:39:00+00:00,AAPL,235.2899932861328,235.2899932861328,235.0601043701172,235.0749969482422,67017,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:40:00+00:00,AAPL,235.0800018310547,235.4199981689453,235.07220458984375,235.3800048828125,65559,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:41:00+00:00,AAPL,235.35000610351562,235.47000122070312,235.3249969482422,235.47000122070312,23930,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:42:00+00:00,AAPL,235.4499969482422,235.62989807128906,235.42999267578125,235.5850067138672,74057,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:43:00+00:00,AAPL,235.57000732421875,235.77279663085938,235.57000732421875,235.76919555664062,71104,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:44:00+00:00,AAPL,235.76890563964844,235.89999389648438,235.7050018310547,235.83999633789062,65576,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:45:00+00:00,AAPL,235.8300018310547,235.8300018310547,235.5800018310547,235.59500122070312,56571,2025-01-15 05:14:03.009777+00:00
2025-01-14 15:46:00+00:00,AAPL,235.639892578125,235.639892578125,235.38999938964844,235.4199981689453,46839,2025-01-15 05:14:03.009777+00:00
