,asset1,asset2,mean,std,min,max,negative_pct,missing_pct
AMZN|||AVGO,AMZN,AVGO,0.5326758863522589,0.16731733435601942,0.15733332456371188,0.772728050564821,0.0,5.800000000000001
AMZN|||AXON,AMZN,AXON,0.3768680421437612,0.24949141782474324,-0.11590218412345761,0.7415024778683675,7.8,5.800000000000001
AMZN|||AZN,AMZN,AZN,0.19464837492364087,0.1751256209954238,-0.16170528026964806,0.5527733366834077,16.0,5.800000000000001
AMZN|||BIIB,AMZN,BIIB,0.28460241452394874,0.16073456133719022,-0.09240558638967884,0.6044363380332192,0.6,5.800000000000001
AMZN|||BKNG,AMZN,BKNG,0.49536918931085583,0.13821430605070556,0.1916065149062497,0.7662114456238263,0.0,5.800000000000001
AMZN|||BKR,AMZN,BKR,0.18220755248024062,0.1392506045093615,-0.04824259569579406,0.4932306549330439,6.2,5.800000000000001
AMZN|||CCEP,AMZN,CCEP,0.3446108524537087,0.1554984751152786,0.10918794637637828,0.6565032188103636,0.0,5.800000000000001
AMZN|||CDNS,AMZN,CDNS,0.5703617708160912,0.15304088761651694,0.17116601757543232,0.8044789483819577,0.0,5.800000000000001
AMZN|||CDW,AMZN,CDW,0.43173675782544646,0.25952820465964827,-0.10514316366165345,0.7458292858646504,8.200000000000001,5.800000000000001
AMZN|||CEG,AMZN,CEG,0.2682588507128152,0.20643972985610395,-0.31695053192245615,0.6015753052582314,11.600000000000001,5.800000000000001
AMZN|||CHTR,AMZN,CHTR,0.30246962668540023,0.1829140362127791,-0.10401395972936661,0.5729053875399595,7.8,5.800000000000001
AMZN|||CMCSA,AMZN,CMCSA,0.3924516080303213,0.1843451217726371,-0.05766493588584812,0.6868934741978995,2.8000000000000003,5.800000000000001
AMZN|||COST,AMZN,COST,0.47396348334055394,0.14046386543997336,0.18936151456757327,0.7569006293714426,0.0,5.800000000000001
AMZN|||CPRT,AMZN,CPRT,0.5507823792680863,0.188680731011126,0.15206669749484736,0.8409709721517775,0.0,5.800000000000001
AMZN|||CRWD,AMZN,CRWD,0.536039153378978,0.13484561055981556,0.22955836538481744,0.7373719584021116,0.0,5.800000000000001
AMZN|||CSCO,AMZN,CSCO,0.38107833880179864,0.1673444683476779,0.03826880885086613,0.7211550592821305,0.0,5.800000000000001
AMZN|||CSGP,AMZN,CSGP,0.517562311147867,0.14352801704273405,0.1497267956510761,0.7450492388089791,0.0,5.800000000000001
AMZN|||CSX,AMZN,CSX,0.3572939356359694,0.2560641464779559,-0.14646973086086348,0.7251202520279559,12.0,5.800000000000001
AMZN|||CTAS,AMZN,CTAS,0.49025803004950824,0.1836094752889027,-0.022476315577322215,0.7587230541023807,0.6,5.800000000000001
AMZN|||CTSH,AMZN,CTSH,0.4689487831127187,0.1850026951771267,0.08251709538204485,0.7464603846746143,0.0,5.800000000000001
AMZN|||DASH,AMZN,DASH,0.5436598611891663,0.16272861776018716,0.12762690667963256,0.7899014142044006,0.0,5.800000000000001
AMZN|||DDOG,AMZN,DDOG,0.6102810111984606,0.116969688867675,0.344357575418347,0.7966264935451257,0.0,5.800000000000001
AMZN|||DXCM,AMZN,DXCM,0.3448648897315871,0.15437237684764946,0.06710699423692519,0.6636597153089662,0.0,5.800000000000001
AMZN|||EA,AMZN,EA,0.34327635922014577,0.14951051967001308,0.031406708753170164,0.6286411837301155,0.0,5.800000000000001
AMZN|||EXC,AMZN,EXC,0.16944560043625215,0.2200877191722925,-0.2785042633690797,0.4948666514807104,23.400000000000002,5.800000000000001
AMZN|||FANG,AMZN,FANG,0.11860220073030435,0.18039549266951488,-0.18685629392822622,0.4493533196383265,30.599999999999998,5.800000000000001
AMZN|||FAST,AMZN,FAST,0.42261182382266144,0.25013508141586616,-0.11118873382111702,0.7619879143069759,7.8,5.800000000000001
AMZN|||FTNT,AMZN,FTNT,0.40976557570862443,0.3185258899937127,-0.3844172977968715,0.7324465233723365,12.6,5.800000000000001
AMZN|||GEHC,AMZN,GEHC,0.24270191413334083,0.09493930555363746,-0.050636070849458835,0.439315067969709,1.7999999999999998,48.0
AMZN|||GFS,AMZN,GFS,0.4767113586861257,0.12546440691740854,0.1539821722023272,0.6736184984429912,0.0,5.800000000000001
AMZN|||GILD,AMZN,GILD,0.19209549418658167,0.20648718463128937,-0.17731788026593712,0.5829930916335293,24.6,5.800000000000001
AMZN|||GOOG,AMZN,GOOG,0.6653710073961682,0.11066106673604766,0.44772029000947206,0.845510638598111,0.0,5.800000000000001
AMZN|||GOOGL,AMZN,GOOGL,0.6582225546223783,0.11735530750314975,0.42142962775534204,0.8531994317633408,0.0,5.800000000000001
AMZN|||HON,AMZN,HON,0.39046989966853524,0.1996192802001484,-0.1258872297832128,0.6816798682865226,7.6,5.800000000000001
AMZN|||IDXX,AMZN,IDXX,0.48491418185433144,0.15920264575298418,0.18562885593723136,0.7338641890726745,0.0,5.800000000000001
AMZN|||INTC,AMZN,INTC,0.4573353208288342,0.1602045777533385,0.11562590384257379,0.8080899546308145,0.0,5.800000000000001
AMZN|||INTU,AMZN,INTU,0.6476663143235675,0.17379582598484833,0.1898433060604035,0.8512286662966925,0.0,5.800000000000001
AMZN|||ISRG,AMZN,ISRG,0.48141169717509996,0.1550129400383672,0.1707072591796182,0.6964258563700068,0.0,5.800000000000001
AMZN|||KDP,AMZN,KDP,0.1924835500243719,0.21840710110391684,-0.22953256984493994,0.6639413677035411,21.6,5.800000000000001
AMZN|||KHC,AMZN,KHC,0.04606617404012319,0.13268533886512837,-0.27718901408141283,0.29797949822430414,31.6,5.800000000000001
AMZN|||KLAC,AMZN,KLAC,0.5530798011786006,0.10960650187147893,0.3329175825425742,0.7778984672540936,0.0,5.800000000000001
AMZN|||LIN,AMZN,LIN,0.3602550281185126,0.20793732928105216,-0.08802234326072604,0.7506709958248056,3.4000000000000004,5.800000000000001
AMZN|||LRCX,AMZN,LRCX,0.5245591690038558,0.1381368624390231,0.2729546432868211,0.7815846178704431,0.0,5.800000000000001
AMZN|||LULU,AMZN,LULU,0.48245443707529106,0.19021673187909527,0.11185501427842573,0.7672166596985273,0.0,5.800000000000001
AMZN|||MAR,AMZN,MAR,0.4415885471107104,0.20529055787970932,-0.006493072906280445,0.7322443089632054,0.2,5.800000000000001
AMZN|||MCHP,AMZN,MCHP,0.4832164110018783,0.23193343290474586,-0.01164607281906943,0.8055255614921697,0.4,5.800000000000001
AMZN|||MDB,AMZN,MDB,0.5866789469065651,0.11738964706877505,0.29456122554979147,0.7624347954966604,0.0,5.800000000000001
AMZN|||MDLZ,AMZN,MDLZ,0.2395378677010543,0.21265159066053627,-0.3179506634480777,0.5949550503575655,13.4,5.800000000000001
AMZN|||MELI,AMZN,MELI,0.5605914647477064,0.14438210727659934,0.3255008702029296,0.8153806169033319,0.0,5.800000000000001
AMZN|||META,AMZN,META,0.6039615246694364,0.08163480297897019,0.4301639994083806,0.7609811447983408,0.0,5.800000000000001
